id,real_construction_probability,is_likely_real
356,0.6704661,1
357,0.6009812,1
358,0.6009812,1
359,0.79226935,1
360,0.6009812,1
361,0.6009812,1
362,0.6009812,1
363,0.52098125,1
364,0.6009812,1
365,0.6009812,1
366,0.79226935,1
367,0.6009812,1
368,0.6009812,1
369,0.6009812,1
370,0.6009812,1
371,0.6009812,1
372,0.52098125,1
373,0.88602626,1
374,0.52098125,1
375,0.52098125,1
376,0.62060577,1
377,0.6009812,1
378,0.52098125,1
379,0.6840536,1
380,0.7184561,1
381,0.6009812,1
382,0.6009812,1
383,0.6009812,1
384,0.6009812,1
385,0.6009812,1
386,0.6009812,1
387,0.6009812,1
388,0.5765072,1
389,0.7184561,1
390,0.52098125,1
391,0.6009812,1
392,0.6009812,1
393,0.52098125,1
394,0.6009812,1
395,0.6009812,1
396,0.6009812,1
397,0.6009812,1
398,0.79226935,1
399,0.6009812,1
400,0.6009812,1
401,0.6009812,1
402,0.52098125,1
403,0.6009812,1
404,0.52098125,1
405,0.6009812,1
406,0.6009812,1
407,0.6009812,1
408,0.6009812,1
409,0.6009812,1
410,0.27375382,0
411,0.6009812,1
412,0.6009812,1
413,0.6009812,1
414,0.6009812,1
415,0.8062388,1
416,0.6009812,1
417,0.6009812,1
418,0.6009812,1
419,0.8681606,1
420,0.52098125,1
421,0.6009812,1
422,0.6009812,1
423,0.6009812,1
424,0.6009812,1
425,0.6009812,1
426,0.6009812,1
427,0.8062388,1
428,0.6009812,1
429,0.91507155,1
430,0.7184561,1
431,0.6009812,1
432,0.6009812,1
433,0.6009812,1
434,0.6009812,1
435,0.6009812,1
436,0.52098125,1
437,0.6009812,1
438,0.552998,1
439,0.6009812,1
440,0.6009812,1
441,0.6009812,1
442,0.7184561,1
443,0.8062388,1
444,0.8062388,1
445,0.6009812,1
446,0.7184561,1
447,0.6009812,1
448,0.6009812,1
449,0.6009812,1
450,0.6009812,1
451,0.6009812,1
452,0.6009812,1
453,0.6009812,1
454,0.6009812,1
455,0.6009812,1
456,0.6009812,1
457,0.7184561,1
458,0.6009812,1
459,0.6009812,1
460,0.6009812,1
461,0.6009812,1
462,0.6009812,1
463,0.6009812,1
464,0.79226935,1
465,0.8062388,1
466,0.6009812,1
467,0.6009812,1
468,0.6009812,1
469,0.6009812,1
470,0.6009812,1
471,0.6009812,1
472,0.07874158,0
473,0.6009812,1
474,0.6009812,1
475,0.6009812,1
476,0.6009812,1
477,0.8062388,1
478,0.6009812,1
479,0.6009812,1
480,0.6009812,1
481,0.6009812,1
482,0.6009812,1
483,0.6009812,1
484,0.6009812,1
485,0.6009812,1
486,0.6009812,1
487,0.6009812,1
488,0.6009812,1
489,0.6009812,1
490,0.6009812,1
491,0.6009812,1
492,0.6009812,1
493,0.6009812,1
494,0.6009812,1
495,0.6009812,1
496,0.7184561,1
497,0.6009812,1
498,0.6009812,1
499,0.6009812,1
500,0.6009812,1
501,0.6009812,1
502,0.6009812,1
503,0.6009812,1
504,0.6009812,1
505,0.6009812,1
506,0.6009812,1
507,0.6009812,1
508,0.6009812,1
509,0.6009812,1
510,0.6009812,1
511,0.6009812,1
512,0.6009812,1
513,0.6009812,1
514,0.6009812,1
515,0.6009812,1
516,0.6009812,1
517,0.6009812,1
518,0.6009812,1
519,0.6009812,1
520,0.6009812,1
521,0.7184561,1
522,0.6009812,1
523,0.6009812,1
524,0.6009812,1
525,0.6009812,1
526,0.6009812,1
527,0.6009812,1
528,0.6009812,1
529,0.6009812,1
530,0.6009812,1
531,0.6009812,1
532,0.6009812,1
533,0.8062388,1
534,0.6009812,1
535,0.6009812,1
536,0.6009812,1
537,0.6009812,1
538,0.6009812,1
539,0.6009812,1
540,0.6009812,1
541,0.88602626,1
542,0.6009812,1
543,0.79226935,1
544,0.6009812,1
545,0.6009812,1
546,0.6009812,1
547,0.07874158,0
548,0.6009812,1
549,0.6009812,1
550,0.13690014,0
551,0.6009812,1
552,0.6009812,1
553,0.6009812,1
554,0.6009812,1
555,0.6009812,1
556,0.6009812,1
557,0.6009812,1
558,0.6009812,1
559,0.6009812,1
560,0.6009812,1
561,0.6009812,1
562,0.6009812,1
563,0.6009812,1
564,0.8062388,1
565,0.6009812,1
566,0.6009812,1
567,0.6009812,1
568,0.6009812,1
569,0.6009812,1
570,0.6009812,1
571,0.6009812,1
572,0.6009812,1
573,0.7184561,1
574,0.6009812,1
575,0.6009812,1
576,0.6009812,1
577,0.6009812,1
578,0.6009812,1
579,0.6009812,1
580,0.79226935,1
581,0.6009812,1
582,0.6009812,1
583,0.6009812,1
584,0.6009812,1
